num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete,flight_period
2,Internet,RoundTrip,262,19,7,Sat,AKLDEL,New Zealand,Yes,No,No,5.52,No,Morning
1,Internet,RoundTrip,112,20,3,Sat,AKLDEL,New Zealand,No,No,No,5.52,No,Night
2,Internet,RoundTrip,243,22,17,Wed,AKLDEL,India,Yes,Yes,No,5.52,No,Evening
1,Internet,RoundTrip,96,31,4,Sat,AKLDEL,New Zealand,No,No,Yes,5.52,No,Night
2,Internet,RoundTrip,68,22,15,Wed,AKLDEL,India,Yes,No,Yes,5.52,No,Afternoon
1,Internet,RoundTrip,3,48,20,Thu,AKLDEL,New Zealand,Yes,No,Yes,5.52,No,Evening
3,Internet,RoundTrip,201,33,6,Thu,AKLDEL,New Zealand,Yes,No,Yes,5.52,No,Morning
2,Internet,RoundTrip,238,19,14,Mon,AKLDEL,India,Yes,No,Yes,5.52,No,Afternoon
1,Internet,RoundTrip,80,22,4,Mon,AKLDEL,New Zealand,No,No,Yes,5.52,No,Night
1,Mobile,RoundTrip,378,30,12,Sun,AKLDEL,India,No,No,No,5.52,No,Afternoon
2,Internet,RoundTrip,185,25,14,Tue,AKLDEL,United Kingdom,Yes,Yes,Yes,5.52,No,Afternoon
1,Internet,RoundTrip,8,43,2,Sat,AKLDEL,New Zealand,Yes,Yes,Yes,5.52,No,Night
4,Internet,RoundTrip,265,24,19,Mon,AKLDEL,New Zealand,Yes,No,Yes,5.52,No,Evening
1,Internet,RoundTrip,185,17,14,Fri,AKLDEL,India,No,No,No,5.52,No,Afternoon
1,Internet,RoundTrip,245,34,4,Tue,AKLDEL,New Zealand,Yes,Yes,Yes,5.52,No,Night
1,Internet,RoundTrip,192,18,14,Thu,AKLDEL,India,Yes,No,No,5.52,No,Afternoon
1,Internet,RoundTrip,259,37,6,Sun,AKLDEL,India,No,No,No,5.52,No,Morning
1,Internet,RoundTrip,19,29,10,Sat,AKLDEL,New Zealand,No,No,Yes,5.52,No,Morning
1,Internet,RoundTrip,67,155,8,Sun,AKLDEL,New Zealand,Yes,No,No,5.52,No,Morning
1,Internet,RoundTrip,351,17,3,Sun,AKLHGH,China,No,No,No,5.07,No,Night
2,Internet,CircleTrip,228,29,23,Wed,AKLHND,New Zealand,Yes,No,No,7.57,No,Night
1,Internet,RoundTrip,21,88,9,Wed,AKLICN,South Korea,Yes,No,Yes,6.62,No,Morning
2,Internet,RoundTrip,23,19,8,Mon,AKLICN,New Zealand,Yes,No,Yes,6.62,No,Morning
2,Internet,RoundTrip,25,27,13,Fri,AKLICN,South Korea,Yes,No,Yes,6.62,No,Afternoon
1,Internet,RoundTrip,16,21,6,Thu,AKLICN,New Zealand,Yes,No,Yes,6.62,No,Morning
1,Internet,RoundTrip,66,20,7,Thu,AKLICN,South Korea,Yes,No,No,6.62,No,Morning
1,Internet,RoundTrip,51,28,6,Fri,AKLICN,South Korea,No,No,No,6.62,No,Morning
2,Internet,RoundTrip,37,24,7,Mon,AKLICN,New Zealand,Yes,No,No,6.62,No,Morning
1,Internet,RoundTrip,101,19,11,Tue,AKLICN,South Korea,Yes,No,Yes,6.62,No,Morning
1,Internet,RoundTrip,19,47,2,Tue,AKLICN,New Zealand,Yes,No,Yes,6.62,No,Night
1,Internet,RoundTrip,16,35,23,Wed,AKLICN,New Zealand,Yes,Yes,No,6.62,No,Night
2,Internet,RoundTrip,7,82,4,Thu,AKLICN,South Korea,Yes,No,Yes,6.62,No,Night
1,Internet,RoundTrip,5,27,0,Fri,AKLICN,New Zealand,No,No,Yes,6.62,No,Night
1,Internet,RoundTrip,185,34,4,Mon,AKLICN,New Zealand,Yes,No,Yes,6.62,No,Night
1,Internet,RoundTrip,21,22,7,Fri,AKLICN,New Zealand,Yes,Yes,No,6.62,No,Morning
1,Internet,RoundTrip,7,27,4,Wed,AKLICN,New Zealand,No,No,Yes,6.62,No,Night
1,Internet,RoundTrip,33,22,14,Sat,AKLICN,South Korea,Yes,No,No,6.62,No,Afternoon
6,Internet,RoundTrip,20,22,3,Fri,AKLICN,South Korea,Yes,Yes,Yes,6.62,No,Night
2,Internet,RoundTrip,56,21,7,Thu,AKLICN,New Zealand,Yes,No,No,6.62,No,Morning
1,Internet,RoundTrip,3,33,1,Mon,AKLICN,South Korea,Yes,No,Yes,6.62,No,Night
1,Internet,RoundTrip,13,26,7,Mon,AKLICN,South Korea,Yes,No,No,6.62,No,Morning
1,Internet,RoundTrip,71,90,7,Thu,AKLICN,South Korea,Yes,Yes,Yes,6.62,No,Morning
2,Internet,RoundTrip,346,23,8,Mon,AKLICN,South Korea,Yes,No,Yes,6.62,No,Morning
1,Internet,RoundTrip,9,84,7,Wed,AKLICN,New Zealand,Yes,No,No,6.62,No,Morning
1,Internet,RoundTrip,65,22,14,Thu,AKLICN,South Korea,Yes,No,No,6.62,No,Afternoon
1,Mobile,RoundTrip,221,61,2,Sun,AKLICN,New Zealand,No,No,No,6.62,No,Night
1,Internet,RoundTrip,65,18,14,Wed,AKLICN,South Korea,No,No,Yes,6.62,No,Afternoon
2,Internet,RoundTrip,7,40,7,Wed,AKLICN,South Korea,Yes,No,Yes,6.62,No,Morning
1,Internet,RoundTrip,107,24,14,Fri,AKLICN,South Korea,No,Yes,No,6.62,No,Afternoon
1,Internet,RoundTrip,14,27,10,Wed,AKLICN,New Zealand,No,No,No,6.62,No,Morning
1,Internet,RoundTrip,77,96,9,Tue,AKLICN,New Zealand,Yes,No,Yes,6.62,No,Morning
1,Internet,RoundTrip,65,17,9,Wed,AKLICN,New Zealand,Yes,No,No,6.62,No,Morning
1,Internet,RoundTrip,24,25,8,Thu,AKLICN,South Korea,Yes,No,Yes,6.62,No,Morning
1,Internet,RoundTrip,47,69,2,Wed,AKLICN,South Korea,Yes,Yes,Yes,6.62,No,Night
1,Internet,RoundTrip,22,89,14,Tue,AKLICN,South Korea,Yes,No,Yes,6.62,No,Afternoon
2,Internet,RoundTrip,11,25,4,Thu,AKLICN,South Korea,Yes,No,Yes,6.62,No,Night
1,Internet,RoundTrip,35,25,6,Tue,AKLICN,South Korea,No,No,Yes,6.62,No,Morning
1,Internet,RoundTrip,272,21,14,Tue,AKLICN,New Zealand,Yes,No,No,6.62,No,Afternoon
1,Internet,RoundTrip,20,18,10,Mon,AKLICN,New Zealand,No,No,No,6.62,No,Morning
1,Internet,RoundTrip,250,23,9,Sun,AKLICN,South Korea,Yes,No,Yes,6.62,No,Morning
1,Internet,RoundTrip,161,58,2,Sat,AKLICN,South Korea,Yes,No,Yes,6.62,No,Night
4,Internet,RoundTrip,128,21,9,Mon,AKLICN,New Zealand,Yes,Yes,No,6.62,No,Morning
1,Internet,RoundTrip,190,27,14,Sun,AKLICN,South Korea,Yes,No,Yes,6.62,No,Afternoon
4,Internet,RoundTrip,311,27,6,Sat,AKLICN,New Zealand,No,Yes,No,6.62,No,Morning
1,Internet,RoundTrip,27,56,7,Fri,AKLICN,South Korea,Yes,No,Yes,6.62,No,Morning
2,Internet,RoundTrip,314,43,10,Sun,AKLICN,New Zealand,No,No,No,6.62,No,Morning
1,Internet,RoundTrip,25,29,11,Wed,AKLICN,South Korea,Yes,No,Yes,6.62,No,Morning
1,Internet,RoundTrip,102,110,6,Tue,AKLICN,South Korea,Yes,No,No,6.62,No,Morning
1,Internet,RoundTrip,24,19,8,Mon,AKLICN,South Korea,Yes,No,Yes,6.62,No,Morning
1,Internet,RoundTrip,2,165,3,Mon,AKLKIX,Japan,Yes,No,No,7,No,Night
1,Internet,RoundTrip,26,111,13,Mon,AKLKIX,Japan,Yes,No,Yes,7,No,Afternoon
1,Internet,RoundTrip,32,34,23,Sun,AKLKIX,New Zealand,No,No,No,7,No,Night
2,Internet,RoundTrip,57,38,5,Sun,AKLKIX,New Zealand,Yes,No,No,7,No,Morning
1,Internet,RoundTrip,198,207,10,Sun,AKLKIX,Japan,Yes,No,Yes,7,No,Morning
1,Internet,RoundTrip,23,27,11,Sat,AKLKIX,Japan,No,No,No,7,No,Morning
1,Internet,RoundTrip,33,20,6,Fri,AKLKTM,New Zealand,Yes,No,No,4.75,No,Morning
2,Internet,RoundTrip,120,91,3,Mon,AKLKTM,New Zealand,Yes,No,Yes,4.75,No,Night
2,Internet,RoundTrip,69,34,4,Thu,AKLKTM,New Zealand,Yes,No,No,4.75,No,Night
